IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
840700000A0203,1.9,1.05,0.474,0.528,2.07,1009,538,46.68,0.0,51.73
84008000AH0153,2.35,1.05,0.445,0.791,5.96,1430,246,82.8,78.25,83.22
83016000AE0229,1.75,1.4,0.38,0.523,3.21,106,34,67.92,38.68,68.87
840370000B0350,1.8,1.2,0.493,0.531,2.64,497,223,55.13,15.49,62.17
070990000D0820,2.3,1.45,0.549,0.535,7.06,9862,1858,81.16,64.81,85.83
261820000G0491,2.2,1.0,0.509,0.565,2.08,1944,1128,41.98,0.0,52.01
830330000E0004,2.3,1.05,0.518,0.511,2.37,769,393,48.89,0.0,57.87
841060000E0194,2.15,1.0,0.523,0.587,2.13,1115,657,41.08,0.0,53.0
84046000AK0077,2.25,1.1,0.391,0.71,1.44,374,264,29.41,0.53,30.48
840020000C0266,2.2,1.0,0.534,0.527,2.42,2457,1314,46.52,0.0,58.73
841220000B0617,,,,,,,,,,
84012000AS0061,2.15,1.05,0.442,0.433,11.43,926,88,90.5,78.08,91.25
261920000C0827,2.05,1.2,0.522,0.645,13.64,10120,918,90.93,85.93,92.67
840370000C1176,1.9,1.1,0.444,0.708,26.01,2913,114,96.09,94.47,96.16
261820000E0525,2.5,1.0,0.373,0.772,2.59,2671,938,64.88,54.51,61.36
841220000H0232,2.0,1.25,0.505,0.753,4.0,1221,353,71.09,61.59,75.02
84053000ZC0096,2.5,1.0,0.372,0.783,1.41,2259,1588,29.7,10.27,28.95
84012000AH0124,1.75,1.2,0.367,0.418,4.77,267,56,79.03,49.81,79.03
072910000B0596,2.15,1.15,0.352,0.947,29.28,527,18,96.58,96.39,96.58
07264000AB0247,2.2,1.1,0.366,0.805,1.59,3094,1934,37.49,22.37,36.94
830830000C0256,2.45,1.8,0.461,0.669,2.55,247,115,53.44,30.36,60.73
830650000B0240,2.2,1.35,0.56,0.532,2.64,866,455,47.46,1.27,62.12
262330000C0112,2.5,1.0,0.317,0.697,1.77,1115,634,43.14,18.48,43.59
840160000A1083,2.2,1.0,0.402,0.788,4.56,319,67,79.0,73.35,78.06
261100000A0457,2.2,1.65,0.57,0.522,5.03,533,152,71.48,45.4,80.11
84118000AB0069,2.15,1.15,0.474,0.42,7.49,1821,279,84.68,63.48,86.66
840400000C1232,1.75,1.25,0.256,0.5,45.53,774,17,97.8,95.61,97.8
841090000A0336,2.25,1.1,0.356,0.837,4.97,616,123,80.03,76.14,79.87
262850000D0437,2.05,1.2,0.531,0.66,13.28,7713,735,90.47,85.56,92.47
07042000BK0230,2.0,1.25,0.537,0.646,4.82,2932,795,72.89,58.02,79.26
07317000AC0144,2.0,1.15,0.499,0.506,3.85,36129,10920,69.77,40.32,74.05
26250000ZH0352,1.9,1.25,0.483,0.537,17.47,2253,146,93.52,87.93,94.27
26220000AC0203,2.0,1.25,0.507,0.446,4.83,7476,1871,74.97,43.93,79.28
071690000B0728,1.9,1.2,0.42,0.571,17.79,694,40,94.24,89.91,94.38
840720000E0145,2.25,1.1,0.555,0.625,2.96,418,188,55.02,27.99,66.27
830720000B1188,2.25,1.35,0.435,0.899,9.03,3288,393,88.05,86.71,88.93
840870000L0653,1.75,1.2,0.453,0.523,8.96,2178,261,88.02,77.09,88.84
261880000B0379,2.3,0.9,0.338,0.473,17.44,1727,89,94.85,89.11,94.27
83027000AD0049,2.2,1.1,0.371,0.872,3.7,943,238,74.76,71.05,72.96
07168000AB0422,2.25,1.25,0.523,0.394,3.75,2383,806,66.18,14.06,73.31
13110000BV0074,2.25,1.6,0.536,0.399,8.5,1589,250,84.27,60.54,88.23
07174000AC0251,2.2,1.0,0.497,0.573,2.25,766,393,48.69,10.44,55.48
84082000AN0025,2.25,0.75,0.493,0.579,2.12,1062,582,45.2,5.27,52.92
840440000A0275,2.0,1.25,0.483,0.402,3.63,646,202,68.73,22.29,72.45
84028000AL0172,,,,,,,,,,
830320000B1267,2.5,1.3,0.518,0.526,51.75,4295,103,97.6,95.44,98.07
830720000L0035,2.35,1.25,0.446,0.714,37.83,1324,40,96.98,95.77,97.36
84081000BK0092,2.05,1.2,0.478,0.477,6.16,2654,479,81.95,62.13,83.76
07345000ZC0386,1.85,0.85,0.437,0.58,1.68,518,305,41.12,0.0,40.54
070150000C0706,1.55,1.15,0.437,0.582,1.67,1939,1138,41.31,0.0,40.18
841260000F0457,2.2,1.1,0.417,0.902,3.63,2173,587,72.99,70.04,72.48
83023000BM0119,2.4,2.25,0.532,0.382,4.29,146,42,71.23,24.66,76.71
840960000D0509,2.0,1.25,0.544,0.624,4.22,12548,3865,69.2,50.66,76.29
070130000B1065,2.25,0.9,0.525,0.584,2.09,2048,1211,40.87,0.0,52.15
831480000C0282,1.95,1.1,0.45,0.386,3.29,22540,7468,66.87,14.2,69.65
840720000C0080,2.1,1.15,0.525,0.657,4.29,789,224,71.61,56.78,76.68
13050000BS0034,2.45,0.9,0.353,0.821,18.93,776,32,95.88,94.97,94.72
262750000C0382,1.3,1.1,0.329,0.705,36.54,1352,31,97.71,96.75,97.26
831080000H0019,2.45,1.4,0.54,0.38,7.24,8649,1592,81.59,51.58,86.19
841000000A0011,2.05,1.2,0.48,0.584,4.27,927,257,72.28,52.54,76.59
84122000AI0107,2.05,1.2,0.496,0.593,7.77,1126,169,84.99,74.69,87.12
84137000AZ0096,2.0,0.95,0.346,0.438,128.81,2061,14,99.32,98.45,99.22
830490000D2084,2.35,1.25,0.499,0.376,9.18,257,32,87.55,66.93,89.11
830830000C0933,2.45,1.5,0.525,0.448,3.67,191,69,63.87,19.37,72.77
830180000C0250,2.4,1.8,0.512,0.531,4.2,1281,391,69.48,42.47,76.19
83101000AC0486,1.9,0.95,0.456,0.502,2.12,3785,1903,49.72,0.0,52.76
840470000D1471,2.35,1.05,0.363,0.719,1.77,969,542,44.07,22.19,43.34
070700000B0472,1.9,1.2,0.48,0.44,2.81,5318,2183,58.95,6.77,64.4
261560000D0768,1.85,1.05,0.409,0.386,2.72,87,34,60.92,0.0,63.22
07264000AL0036,2.5,0.95,0.381,0.765,1.3,3310,2491,24.74,1.6,23.35
841220000H0352,2.2,1.1,0.529,0.493,3.25,3921,1556,60.32,19.48,69.19
263480000C0481,2.05,1.15,0.399,0.75,29.5,531,18,96.61,95.48,96.61
841260000B0390,2.05,1.2,0.532,0.626,6.6,7356,1398,81.0,69.62,84.86
840870000C1077,,,,,,,,,,
073170000B0147,1.9,1.2,0.483,0.63,3.57,1480,472,68.11,49.39,72.03
07264000AV0175,2.2,0.95,0.34,0.944,47.69,2003,34,98.3,98.2,97.9
83097000AK0167,2.25,2.0,0.479,0.365,5.57,117,23,80.34,46.15,82.05
841380000B0092,2.15,1.15,0.554,0.616,3.24,6782,2829,58.29,32.34,69.09
841170000B0744,2.25,1.1,0.482,0.842,2.25,1530,762,50.2,40.85,55.62
840420000C0453,2.5,1.35,0.523,0.472,18.12,5616,403,92.82,84.81,94.48
840020000A1082,2.5,1.4,0.434,0.535,2.09,2489,1317,47.09,1.08,52.07
840560000A0826,2.0,1.25,0.537,0.652,13.02,12112,1182,90.24,85.02,92.32
263570000Y0055,2.4,0.95,0.383,0.556,23.35,864,35,95.95,92.71,95.72
840190000H0976,2.15,1.1,0.403,0.59,2.9,342,121,64.62,40.06,65.5
841340000A0287,2.0,1.25,0.546,0.603,3.33,2133,847,60.29,34.13,69.95
070090000B0642,2.0,1.15,0.512,0.584,3.99,4615,1350,70.75,49.92,74.91
840720000D0358,,,,,,,,,,
840120000A0408,2.0,1.25,0.52,0.697,9.17,1513,191,87.38,81.89,89.09
830890000B0279,2.2,1.8,0.55,0.407,5.47,1285,324,74.79,37.98,81.71
07264000AS0202,2.15,1.15,0.548,0.582,2.53,3073,1594,48.13,10.8,60.4
84122000AV0024,2.15,1.15,0.452,0.936,8.91,1123,132,88.25,87.44,88.78
26345000AW0045,2.25,1.05,0.45,0.6,12.76,434,36,91.71,86.18,92.17
830670000D1348,1.65,1.2,0.43,0.39,2.74,1385,536,61.3,0.79,63.47
841460000B0494,1.65,1.3,0.473,0.437,2.6,328,143,56.4,0.3,61.59
841380000D0019,2.4,1.0,0.421,0.87,5.59,8339,1382,83.43,80.96,82.11
830310000F1325,2.35,0.8,0.436,0.781,1.23,1310,1040,20.61,0.0,18.93
26345000AO0198,2.0,1.25,0.506,0.692,6.78,644,110,82.92,75.31,85.25
84012000AD0352,1.95,1.25,0.5,0.703,13.97,1579,128,91.89,88.47,92.84
840100000A0117,2.35,1.4,0.559,0.581,4.19,1098,360,67.21,43.53,76.14
