IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
841330000F0862,2.4,1.35,0.53,0.423,1.97,3642,1458,59.97,5.44,49.29
262330000B0470,2.25,1.2,0.497,0.587,2.97,859,246,71.36,51.22,66.36
261820000C0523,2.45,1.35,0.46,0.61,2.03,1144,452,60.49,35.23,50.7
263570000M0066,2.15,1.4,0.497,0.546,3.5,1075,233,78.33,60.28,71.44
13087000AN0154,2.15,1.95,0.569,0.443,1.59,720,303,57.92,5.0,37.08
841500000D0467,2.25,1.3,0.427,0.438,10.71,1339,98,92.68,83.27,90.66
840770000C0427,2.5,1.6,0.487,0.492,7.94,413,31,92.49,84.75,87.41
831110000A0443,2.4,1.75,0.428,0.564,1.51,611,348,43.04,0.0,33.72
262750000K0412,2.1,1.4,0.519,0.556,1.92,1476,567,61.59,30.96,47.9
830460000E1053,2.3,2.15,0.529,0.591,5.79,307,26,91.53,85.67,82.74
07042000AE0004,2.05,1.4,0.479,0.634,2.33,5288,1696,67.93,49.45,57.02
831540000C0253,2.4,2.05,0.562,0.404,4.18,1627,215,86.79,67.3,76.09
830720000H0292,2.4,1.85,0.482,0.41,10.58,804,43,94.65,86.94,90.55
13110000AX0047,1.95,2.0,0.584,0.436,1.43,1590,709,55.41,0.0,30.13
840390000F0407,2.0,1.65,0.529,0.648,1.5,457,232,49.23,21.66,33.26
841500000E0671,2.4,1.4,0.545,0.506,3.12,3179,731,77.01,54.55,67.98
26317000AB0053,1.4,1.15,0.334,0.524,16.06,1943,65,96.65,93.62,93.77
830320000E0558,2.15,2.0,0.618,0.534,3.57,2920,458,84.32,70.62,71.95
84081000BE0106,2.0,1.4,0.506,0.516,1.74,1090,512,53.03,8.99,42.39
831000000A0607,2.3,2.1,0.511,0.506,1.47,4140,2071,49.98,1.09,31.91
830910000B1132,1.9,1.25,0.486,0.492,1.68,902,443,50.89,0.22,40.58
841340000C0462,2.25,1.4,0.508,0.553,11.33,4100,235,94.27,89.63,91.17
841170000A0058,2.35,1.4,0.534,0.496,2.28,990,331,66.57,32.53,56.06
840390000F0489,2.5,1.45,0.524,0.534,4.16,1065,181,83.0,68.17,75.96
